Party_Id,Party_Name,Party_Abbreviation,Hex_Col,
19,Alliance Party,APNI,#ffe600,
20,Democratic Unionist Party,DUP,#ff8000,
111,Green Party,GPNI,#33ff33,
21,Independent,IND,#669999,
918,NI21,NI21,#581845,
24,Sinn Fein,SF,#009900,
23,Social Democratic and Labour Party,SDLP,#cc3300,
141,Traditional Unionist Voice,TUV,#0000e6,
689,UK Independence Party,UKIP,#cc00cc,
26,Ulster Unionist Party,UUP,#62cae7,
999,People Before Profit Alliance,PBP,#ff3399,
998,Workers Party,WP,#ff0000,
997,Procapitalism,CAP,#f633ff,
996,Socialist Party (NI),SP,#e60000,
995,British Nationalist Party,BNP,#b7bdff,
994,Progressive Unionist Party,PUP,#1e0082,
