Constituency_Number,Constituency_Name,ONS_Code,Directory,Voting_Age_Pop
2,Belfast East,N06000001,belfast-east,72952
10,Belfast North,N06000002,belfast-north,78596
13,Belfast South,N06000003,belfast-south,90958
17,Belfast West,N06000004,belfast-west,69137
1,East Antrim,N06000005,east-antrim,70006
3,East Londonderry,N06000006,east-londonderry,76421
4,Fermanagh and South Tyrone,N06000007,fermanagh-south-tyrone,77485
5,Foyle,N06000008,foyle,75354
6,Lagan Valley,N06000009,lagan-valley,78573
7,Mid Ulster,N06000010,mid-ulster,73312
8,Newry and Armagh,N06000011,newry-armagh,83816
9,North Antrim,N06000012,north-antrim,83367
11,North Down,N06000013,north-down,71137
12,South Antrim,N06000014,south-antrim,74754
14,South Down,N06000015,south-down,80945
15,Strangford,N06000016,strangford,69381
16,Upper Bann,N06000017,upper-bann,89091
18,West Tyrone,N06000018,west-tyrone,68095
