Constituency_Name,Constituency_Number,Total_Poll,Spoiled,Valid_Poll,Quota,Total_Electorate,Turnout_pct,Number_Of_Seats,Voting_Age_Pop
Belfast East,2,,,,,,,5,74065
Belfast North,10,,,,,,,5,78914
Belfast South,13,,,,,,,5,91756
Belfast West,17,,,,,,,5,69817
East Antrim,1,,,,,,,5,70652
East Londonderry,3,,,,,,,5,77437
Fermanagh and South Tyrone,4,,,,,,,5,79405
Foyle,5,,,,,,,5,76503
Lagan Valley,6,,,,,,,5,80833
Mid Ulster,7,,,,,,,5,75342
Newry and Armagh,8,,,,,,,5,85884
North Antrim,9,,,,,,,5,85122
North Down,11,,,,,,,5,71239
South Antrim,12,,,,,,,5,76066
South Down,14,,,,,,,5,82463
Strangford,15,,,,,,,5,70598
Upper Bann,16,,,,,,,5,92012
West Tyrone,18,,,,,,,5,69229
NORTHERN IRELAND,NA,,,,,,,90,1407337
