Party_Id,Party_Name,Party_Abbreviation,Hex_Col,DClub_Id
19,Alliance Party,APNI,#FDD835,party:103
20,Democratic Unionist Party,DUP,#FF5722,party:70
111,Green Party,GPNI,#689F38,party:305
21,Independent,IND,#B0BEC5,ynmp-party:2
24,Sinn Fein,SF,#4CAF50,party:39
23,Social Democratic and Labour Party,SDLP,#E53935,party:55
141,Traditional Unionist Voice,TUV,#303F9F,party:680
689,UK Independence Party,UKIP,#9C27B0,
26,Ulster Unionist Party,UUP,#03A9F4,party:83
999,People Before Profit Alliance,PBP,#E91E63,party:773
998,Workers Party,WP,#B71C1C,party:127
994,Progressive Unionist Party,PUP,#880E4F,party:101
993,Cannabis Is Safer Than Alcohol,CISTA,#00695C,party:2724
992,Labour Alternative,LABALT,#E57373,
991,NI Conservatives,CON,#B0BEC5,party:51
990,South Belfast Unionists,SBU,#B0BEC5,
989,NI Labour Representation Committee,LRC,#E57373,
988,Northern Ireland First,NIF,#B0BEC5,
987,Cross-Community Labour Alternative,CCLAB,#E57373,party:4037
986,Democracy First,DF,#B0BEC5,
985,Animal Welfare Party,AWP,#B0BEC5,
